species,tissueType,tissuetype_id,clusterName,celltype_id,gene_MSU,gene
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g34520,Os07g0529000
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g38140,Os07g0568800
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os07g41240,Os07g0603700
Oryza_sativa,seed,PO0009118,endosperm,PO0009089,LOC_Os07g41290,Os07g0604100
Oryza_sativa,seed,PO0009119,endosperm,PO0009089,LOC_Os07g41650,Os07g0607400
Oryza_sativa,seed,PO0009120,endosperm,PO0009089,LOC_Os07g42390,Os07g0615500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g42490,Os07g0616800
Oryza_sativa,seed,PO0009122,endosperm,PO0009089,LOC_Os07g44020,Os07g0634000
Oryza_sativa,seed,PO0009010,embryo,PO0009009,LOC_Os07g44060,Os07g0634400
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os07g44550,Os07g0639000
Oryza_sativa,seed,PO0009123,endosperm,PO0009089,LOC_Os07g46360,Os07g0657100
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g47120,Os07g0667100
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os07g48560,Os07g0684900
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os07g49350,Os07g0694200
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os08g03690,Os08g0131200
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os08g04290,Os08g0137250
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os08g04740,Os08g0142900
Oryza_sativa,seed,PO0009127,endosperm,PO0009089,LOC_Os08g08960,Os08g0189100
Oryza_sativa,seed,PO0009128,endosperm,PO0009089,LOC_Os08g09700,Os08g0196900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os08g28660,Os08g0373900
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os08g28940,Os08g0377100
Oryza_sativa,seed,PO0009132,endosperm,PO0009089,LOC_Os08g36440,Os08g0467500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os08g36680,Os08g0470700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os08g36900,Os08g0473600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os08g37890,Os08g0485500
Oryza_sativa,seed,PO0009133,endosperm,PO0009089,LOC_Os08g41030,Os08g0521600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os08g42600,Os08g0538700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os08g42750,Os08g0540400
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os09g04100,Os09g0127700
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os09g15230,Os09g0321000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os09g15520,Os09g0324000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os09g15660,Os09g0325500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os09g16260,Os09g0331900
Oryza_sativa,seed,PO0009136,endosperm,PO0009089,LOC_Os09g20340,Os09g0368900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os09g20440,Os09g0370300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os09g28400,Os09g0457400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os09g30240,Os09g0479800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os09g32920,Os09g0506750
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os09g34880,Os09g0520400
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os09g39730,Os09g0570850
Oryza_sativa,seed,PO0009141,endosperm,PO0009089,LOC_Os09g39920,Os09g0572500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g01660,Os10g0105900
Oryza_sativa,seed,PO0009142,endosperm,PO0009089,LOC_Os10g04900,Os10g0138600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g04980,Os10g0139300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g11580,Os10g0191900
